gene_id,Control1_2021,Control2_2021,Hopeaphenol1_2021,Hopeaphenol2_2021
ECA_RS00015,2593,3302,1068,994
ECA_RS00040,362,365,471,543
ECA_RS00045,212,184,678,682
ECA_RS00080,13,14,117,129
ECA_RS00085,0,0,0,0
ECA_RS00090,996,782,609,616
ECA_RS00110,365,412,512,319
ECA_RS00115,2703,2350,3736,3916
ECA_RS00130,857,787,718,746
ECA_RS00180,2450,2799,2647,3168
ECA_RS00185,1011,715,630,605
ECA_RS00230,44,36,77,62
ECA_RS00235,176,140,121,109
ECA_RS00240,168,160,268,306
ECA_RS00245,505,486,520,800
ECA_RS00270,175,175,157,116
ECA_RS00275,495,515,605,634
ECA_RS00290,87,87,195,197
ECA_RS00295,17,16,38,20
ECA_RS00300,51,29,59,46
ECA_RS00305,26,20,39,51
ECA_RS00310,15,6,11,13
ECA_RS00315,401,488,749,931
ECA_RS00325,5,16,15,22
ECA_RS00330,5,2,11,12
ECA_RS00335,266,161,163,179
ECA_RS00345,75,48,62,54
ECA_RS00350,105,84,154,182
ECA_RS00355,1449,1527,1128,1064
ECA_RS00360,138,143,169,189
ECA_RS00365,90,101,165,134
ECA_RS00370,49,66,106,130
ECA_RS00375,19,23,41,59
ECA_RS00380,49,48,74,88
ECA_RS00385,84,74,77,130
ECA_RS00390,136,121,149,171
ECA_RS00400,290,314,211,225
ECA_RS00405,11,26,44,88
ECA_RS00410,130,135,240,251
ECA_RS00430,1320,1768,4963,5427
ECA_RS00435,2863,3273,9922,11083
ECA_RS00440,243,258,629,721
ECA_RS00445,237,181,238,349
ECA_RS00450,927,733,1140,1140
ECA_RS00455,3559,3928,321,303
ECA_RS00470,1000,1133,7473,8552
ECA_RS00475,75,66,188,327
ECA_RS00495,162,129,1471,1663
ECA_RS00500,150,139,1024,1008
ECA_RS00505,370,470,994,1192
ECA_RS00510,1615,1686,1360,1400
ECA_RS00520,4796,5410,1784,1565
ECA_RS00525,284,330,161,142
ECA_RS00530,317,407,655,673
ECA_RS00535,75,84,93,113
ECA_RS00540,253,237,215,201
ECA_RS00545,176,178,156,116
ECA_RS00550,181,134,159,151
ECA_RS00555,242,276,252,186
