query,seed_eggNOG_ortholog,evalue,score,eggNOGs,domain,COG Cat.,eggNOG HMM Desc.,predicted name,GO_terms,EC,KEGG KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
WP_000613954.1,1028307.EAE_04905,7.10E-62,243,"COG0093@1|root,COG0093@2|Bacteria,1RCWZ@1224|Proteobacteria,1S3Z3@1236|Gammaproteobacteria,3X27V@547|Enterobacter",1236|Gammaproteobacteria,J,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,rplN,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02874,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L14
WP_001144069.1,1005994.GTGU_04164,6.00E-29,132.9,"COG0828@1|root,COG0828@2|Bacteria,1MZCC@1224|Proteobacteria,1S8QZ@1236|Gammaproteobacteria",1236|Gammaproteobacteria,J,Belongs to the bacterial ribosomal protein bS21 family,rpsU,"GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02970,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S21
WP_002208627.1,104623.Ser39006_01719,9.30E-53,212.6,"COG0347@1|root,COG0347@2|Bacteria,1RGWK@1224|Proteobacteria,1S67I@1236|Gammaproteobacteria,403EA@613|Serratia",1236|Gammaproteobacteria,K,"prevents the phosphorylation of NR-I, the transcriptional activator of the glutamine synthetase gene (glnA)",glnK,"GO:0003674,GO:0005488,GO:0005515,GO:0006808,GO:0008150,GO:0042802,GO:0045848,GO:0048518,GO:0050789,GO:0065007",-,ko:K04752,-,-,-,-,ko00000,-,-,-,P-II
WP_002208990.1,1006004.GBAG_4236,1.20E-21,108.2,"COG0267@1|root,COG0267@2|Bacteria,1N6QV@1224|Proteobacteria,1SCEJ@1236|Gammaproteobacteria",1236|Gammaproteobacteria,J,Belongs to the bacterial ribosomal protein bL33 family,rpmG,"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046677,GO:0050896,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02913,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L33
WP_002211347.1,1005995.GTPT_2754,4.00E-33,146.7,"COG0361@1|root,COG0361@2|Bacteria,1MZFU@1224|Proteobacteria,1S8WZ@1236|Gammaproteobacteria,4BV9Z@82986|Tatumella",1236|Gammaproteobacteria,J,"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex",infA,"GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02518,-,-,-,-,"ko00000,ko03012",-,-,-,eIF-1a
WP_002227352.1,104623.Ser39006_00051,2.70E-12,76.6,"COG0257@1|root,COG0257@2|Bacteria,1NGEI@1224|Proteobacteria,1SGC9@1236|Gammaproteobacteria,4048I@613|Serratia",1236|Gammaproteobacteria,J,Belongs to the bacterial ribosomal protein bL36 family,rpmJ,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02919,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L36
WP_002441228.1,1453496.AT03_07215,6.40E-38,162.9,"COG1925@1|root,COG1925@2|Bacteria,1N0CV@1224|Proteobacteria,1S9R2@1236|Gammaproteobacteria",1236|Gammaproteobacteria,G,Phosphocarrier protein Hpr,ptsH,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005981,GO:0006109,GO:0006793,GO:0006796,GO:0006810,GO:0008047,GO:0008150,GO:0008152,GO:0008643,GO:0008965,GO:0008982,GO:0009401,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010604,GO:0010675,GO:0010676,GO:0010906,GO:0010907,GO:0015144,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0019197,GO:0019222,GO:0022804,GO:0022857,GO:0030234,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0032881,GO:0032991,GO:0034219,GO:0043085,GO:0043467,GO:0043470,GO:0043471,GO:0044093,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0045819,GO:0045913,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0051179,GO:0051234,GO:0055085,GO:0060255,GO:0062012,GO:0062013,GO:0065007,GO:0065009,GO:0070873,GO:0070875,GO:0071702,GO:0080090,GO:0098772",-,ko:K02784,"ko02060,map02060",-,-,-,"ko00000,ko00001,ko02000",8.A.8.1.1,-,"e_coli_core.b2415,iAF1260.b2415,iB21_1397.B21_02276,iBWG_1329.BWG_2177,iE2348C_1286.E2348C_2601,iEC042_1314.EC042_2624,iEC55989_1330.EC55989_2705,iECABU_c1320.ECABU_c27360,iECBD_1354.ECBD_1266,iECB_1328.ECB_02315,iECDH10B_1368.ECDH10B_2580,iECDH1ME8569_1439.ECDH1ME8569_2349,iECDH1ME8569_1439.EcDH1_1246,iECD_1391.ECD_02315,iECED1_1282.ECED1_2859,iECH74115_1262.ECH74115_3646,iECIAI1_1343.ECIAI1_2473,iECIAI39_1322.ECIAI39_2561,iECNA114_1301.ECNA114_2492,iECO103_1326.ECO103_2934,iECO111_1330.ECO111_3145,iECO26_1355.ECO26_3468,iECOK1_1307.ECOK1_2732,iECP_1309.ECP_2439,iECS88_1305.ECS88_2605,iECSE_1348.ECSE_2706,iECSF_1327.ECSF_2279,iECSP_1301.ECSP_3363,iECUMN_1333.ECUMN_2737,iECW_1372.ECW_m2644,iECs_1301.ECs3287,iEKO11_1354.EKO11_1313,iETEC_1333.ETEC_2528,iEcDH1_1363.EcDH1_1246,iEcE24377_1341.EcE24377A_2702,iEcHS_1320.EcHS_A2550,iEcSMS35_1347.EcSMS35_2570,iEcolC_1368.EcolC_1263,iG2583_1286.G2583_2947,iJO1366.b2415,iJR904.b2415,iLF82_1304.LF82_1769,iNRG857_1313.NRG857_12110,iPC815.YPO2993,iSBO_1134.SBO_2439,iSDY_1059.SDY_2612,iSFV_1184.SFV_2467,iSF_1195.SF2470,iSFxv_1172.SFxv_2719,iSSON_1240.SSON_2504,iS_1188.S2616,iSbBS512_1146.SbBS512_E2765,iUMN146_1321.UM146_04545,iUMNK88_1353.UMNK88_3017,iUTI89_1310.UTI89_C2749,iWFL_1372.ECW_m2644,iY75_1357.Y75_RS12655,iZ_1308.Z3681,ic_1306.c2950",PTS-HPr
WP_002919257.1,1005994.GTGU_03001,1.30E-66,258.8,"COG0100@1|root,COG0100@2|Bacteria,1RD0A@1224|Proteobacteria,1S3Q2@1236|Gammaproteobacteria",1236|Gammaproteobacteria,J,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",rpsK,"GO:0000028,GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0016070,GO:0016072,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034622,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0065003,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02948,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S11
WP_003019081.1,1080067.BAZH01000004_gene4033,1.00E-17,95.1,"COG5487@1|root,COG5487@2|Bacteria,1NGAH@1224|Proteobacteria,1SGD7@1236|Gammaproteobacteria,3WYW6@544|Citrobacter",1236|Gammaproteobacteria,S,Protein of unknown function (DUF1328),ytjA,-,-,-,-,-,-,-,-,-,-,-,DUF1328
WP_004718520.1,218491.ECA4064,2.10E-114,418.3,"COG0664@1|root,COG0664@2|Bacteria,1MXID@1224|Proteobacteria,1RMIZ@1236|Gammaproteobacteria,1MQG5@122277|Pectobacterium",1236|Gammaproteobacteria,K,regulatory protein Crp,crp,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0007154,GO:0007584,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009605,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0009991,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016070,GO:0017076,GO:0018130,GO:0019001,GO:0019219,GO:0019222,GO:0019438,GO:0030551,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0032553,GO:0032555,GO:0032561,GO:0032774,GO:0032991,GO:0032993,GO:0034641,GO:0034645,GO:0034654,GO:0035438,GO:0036094,GO:0042221,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045013,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045990,GO:0046483,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0061984,GO:0061985,GO:0065007,GO:0070887,GO:0071496,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140110,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141",-,ko:K10914,"ko02020,ko02024,ko02025,ko02026,ko05111,map02020,map02024,map02025,map02026,map05111",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"Crp,cNMP_binding"
